name,url,promoted_content,query,tweet_volume
#MyBTSTracks,http://twitter.com/search?q=%23MyBTSTracks,,%23MyBTSTracks,785655
#FACupFinal,http://twitter.com/search?q=%23FACupFinal,,%23FACupFinal,152978
#KKRvSRH,http://twitter.com/search?q=%23KKRvSRH,,%23KKRvSRH,32175
#khudkhelokhudjeeto,http://twitter.com/search?q=%23khudkhelokhudjeeto,,%23khudkhelokhudjeeto,
LOUDER THAN BOMBS,http://twitter.com/search?q=%22LOUDER+THAN+BOMBS%22,,%22LOUDER+THAN+BOMBS%22,353660
Andrew Symonds,http://twitter.com/search?q=%22Andrew+Symonds%22,,%22Andrew+Symonds%22,
10YRS OF SIDHARTH AS SHIV,http://twitter.com/search?q=%2210YRS+OF+SIDHARTH+AS+SHIV%22,,%2210YRS+OF+SIDHARTH+AS+SHIV%22,118567
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,488250
Chelsea,http://twitter.com/search?q=Chelsea,,Chelsea,421107
Messi,http://twitter.com/search?q=Messi,,Messi,148974
14th reminder of ssr injustice,http://twitter.com/search?q=%2214th+reminder+of+ssr+injustice%22,,%2214th+reminder+of+ssr+injustice%22,94571
zoya akhtar,http://twitter.com/search?q=%22zoya+akhtar%22,,%22zoya+akhtar%22,10012
Pulisic,http://twitter.com/search?q=Pulisic,,Pulisic,40877
Mendy,http://twitter.com/search?q=Mendy,,Mendy,39914
Luna,http://twitter.com/search?q=Luna,,Luna,1239295
ASIM RIAZ,http://twitter.com/search?q=%22ASIM+RIAZ%22,,%22ASIM+RIAZ%22,95918
Williamson,http://twitter.com/search?q=Williamson,,Williamson,
Daily Quordle 111,http://twitter.com/search?q=%22Daily+Quordle+111%22,,%22Daily+Quordle+111%22,
Klopp,http://twitter.com/search?q=Klopp,,Klopp,93894
Wembley,http://twitter.com/search?q=Wembley,,Wembley,97114
sushant words of wisdom,http://twitter.com/search?q=%22sushant+words+of+wisdom%22,,%22sushant+words+of+wisdom%22,
Aurangzeb,http://twitter.com/search?q=Aurangzeb,,Aurangzeb,26485
Paradise,http://twitter.com/search?q=Paradise,,Paradise,197538
Riverdale,http://twitter.com/search?q=Riverdale,,Riverdale,
Raktdan Sushant Ke Naam,http://twitter.com/search?q=%22Raktdan+Sushant+Ke+Naam%22,,%22Raktdan+Sushant+Ke+Naam%22,38616
Tuchel,http://twitter.com/search?q=Tuchel,,Tuchel,70378
Zayed Al Nahyan,http://twitter.com/search?q=%22Zayed+Al+Nahyan%22,,%22Zayed+Al+Nahyan%22,27352
Sunil Jakhar,http://twitter.com/search?q=%22Sunil+Jakhar%22,,%22Sunil+Jakhar%22,
Mason Mount,http://twitter.com/search?q=%22Mason+Mount%22,,%22Mason+Mount%22,24351
ardh announcement on 17,http://twitter.com/search?q=%22ardh+announcement+on+17%22,,%22ardh+announcement+on+17%22,22402
MAAN KI HALDI,http://twitter.com/search?q=%22MAAN+KI+HALDI%22,,%22MAAN+KI+HALDI%22,
Alisson,http://twitter.com/search?q=Alisson,,Alisson,32141
andre russell,http://twitter.com/search?q=%22andre+russell%22,,%22andre+russell%22,
Diaz,http://twitter.com/search?q=Diaz,,Diaz,118765
siima 2019,http://twitter.com/search?q=%22siima+2019%22,,%22siima+2019%22,
Heartbeat,http://twitter.com/search?q=Heartbeat,,Heartbeat,65154
Trent,http://twitter.com/search?q=Trent,,Trent,51164
Jessica,http://twitter.com/search?q=Jessica,,Jessica,28665
Penalties,http://twitter.com/search?q=Penalties,,Penalties,43238
Mane,http://twitter.com/search?q=Mane,,Mane,93847
Jurgen,http://twitter.com/search?q=Jurgen,,Jurgen,31624
Warner,http://twitter.com/search?q=Warner,,Warner,12504
Lukaku,http://twitter.com/search?q=Lukaku,,Lukaku,41955
Thiago,http://twitter.com/search?q=Thiago,,Thiago,40110
Teju,http://twitter.com/search?q=Teju,,Teju,16314
jongin,http://twitter.com/search?q=jongin,,jongin,96984
Buffalo,http://twitter.com/search?q=Buffalo,,Buffalo,252014
Mbappe,http://twitter.com/search?q=Mbappe,,Mbappe,41547
Every State,http://twitter.com/search?q=%22Every+State%22,,%22Every+State%22,16360
