name,url,promoted_content,query,tweet_volume
#GodMorningSunday,http://twitter.com/search?q=%23GodMorningSunday,,%23GodMorningSunday,
#PuneethRajkumar,http://twitter.com/search?q=%23PuneethRajkumar,,%23PuneethRajkumar,140780
#TOTMUN,http://twitter.com/search?q=%23TOTMUN,,%23TOTMUN,151234
Halloween,http://twitter.com/search?q=Halloween,,Halloween,2796138
#SundayThoughts,http://twitter.com/search?q=%23SundayThoughts,,%23SundayThoughts,
#SundayMorning,http://twitter.com/search?q=%23SundayMorning,,%23SundayMorning,
STOP USING SIDHARTH SHUKLA,http://twitter.com/search?q=%22STOP+USING+SIDHARTH+SHUKLA%22,,%22STOP+USING+SIDHARTH+SHUKLA%22,210381
MORE POWER TO SHEHNAAZ,http://twitter.com/search?q=%22MORE+POWER+TO+SHEHNAAZ%22,,%22MORE+POWER+TO+SHEHNAAZ%22,223745
Pope,http://twitter.com/search?q=Pope,,Pope,103451
Diwali,http://twitter.com/search?q=Diwali,,Diwali,183599
Sushant Our Superstar,http://twitter.com/search?q=%22Sushant+Our+Superstar%22,,%22Sushant+Our+Superstar%22,40377
Cavani,http://twitter.com/search?q=Cavani,,Cavani,80954
Miller,http://twitter.com/search?q=Miller,,Miller,42834
Spurs,http://twitter.com/search?q=Spurs,,Spurs,128941
conquer your dreams,http://twitter.com/search?q=%22conquer+your+dreams%22,,%22conquer+your+dreams%22,
Asif Ali,http://twitter.com/search?q=%22Asif+Ali%22,,%22Asif+Ali%22,55686
yourstory techsparks,http://twitter.com/search?q=%22yourstory+techsparks%22,,%22yourstory+techsparks%22,
Paris,http://twitter.com/search?q=Paris,,Paris,139445
Ramsdale,http://twitter.com/search?q=Ramsdale,,Ramsdale,162350
Om Shanti,http://twitter.com/search?q=%22Om+Shanti%22,,%22Om+Shanti%22,16273
CBI Expose SSR Murder Truth,http://twitter.com/search?q=%22CBI+Expose+SSR+Murder+Truth%22,,%22CBI+Expose+SSR+Murder+Truth%22,47901
gigi,http://twitter.com/search?q=gigi,,gigi,89959
Vatican,http://twitter.com/search?q=Vatican,,Vatican,41624
भारत रत्न,http://twitter.com/search?q=%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4+%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%22,,%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4+%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%22,
its time for saakk 2,http://twitter.com/search?q=%22its+time+for+saakk+2%22,,%22its+time+for+saakk+2%22,20143
Sushant The Most Graceful,http://twitter.com/search?q=%22Sushant+The+Most+Graceful%22,,%22Sushant+The+Most+Graceful%22,38982
राष्ट्रीय एकता,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%8F%E0%A4%95%E0%A4%A4%E0%A4%BE%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%8F%E0%A4%95%E0%A4%A4%E0%A4%BE%22,
Mariano,http://twitter.com/search?q=Mariano,,Mariano,51234
Reece James,http://twitter.com/search?q=%22Reece+James%22,,%22Reece+James%22,67981
DONT COMEBACK MUDI,http://twitter.com/search?q=%22DONT+COMEBACK+MUDI%22,,%22DONT+COMEBACK+MUDI%22,42221
D. Faulkner,http://twitter.com/search?q=%22D.+Faulkner%22,,%22D.+Faulkner%22,
Buttler,http://twitter.com/search?q=Buttler,,Buttler,
Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,271338
Nuno,http://twitter.com/search?q=Nuno,,Nuno,48992
B. Frank Worrell Trophy,http://twitter.com/search?q=%22B.+Frank+Worrell+Trophy%22,,%22B.+Frank+Worrell+Trophy%22,
Italy,http://twitter.com/search?q=Italy,,Italy,96530
C. The Beige Brigade,http://twitter.com/search?q=%22C.+The+Beige+Brigade%22,,%22C.+The+Beige+Brigade%22,
England,http://twitter.com/search?q=England,,England,109450
Arrest Plotters Of SSR Murder,http://twitter.com/search?q=%22Arrest+Plotters+Of+SSR+Murder%22,,%22Arrest+Plotters+Of+SSR+Murder%22,45462
सरदार वल्लभ,http://twitter.com/search?q=%22%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%B0+%E0%A4%B5%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A4%AD%22,,%22%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%B0+%E0%A4%B5%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A4%AD%22,
सरदार पटेल,http://twitter.com/search?q=%22%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%B0+%E0%A4%AA%E0%A4%9F%E0%A5%87%E0%A4%B2%22,,%22%E0%A4%B8%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%B0+%E0%A4%AA%E0%A4%9F%E0%A5%87%E0%A4%B2%22,
Aguero,http://twitter.com/search?q=Aguero,,Aguero,15916
श्री कृष्ण,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,13825
